21-Feb-2017,828.66,833.45,828.35,831.66,831.66,12,62,300,
17-Feb-2017,823.02,828.07,821.66,828.07,828.07,16,11,000,
16-Feb-2017,819.93,824.40,818.98,824.16,824.16,12,87,600,
15-Feb-2017,819.36,823.00,818.47,818.98,818.98,13,13,600,
14-Feb-2017,819.00,823.00,816.00,820.45,820.45,10,54,700,
13-Feb-2017,816.00,820.96,815.49,819.24,819.24,12,13,300,
10-Feb-2017,811.70,815.25,809.78,813.67,813.67,11,35,000,
09-Feb-2017,809.51,810.66,804.54,809.56,809.56,9,89,700,
08-Feb-2017,807.00,811.84,803.19,808.38,808.38,11,55,300,
07-Feb-2017,803.99,810.50,801.78,806.97,806.97,12,41,200,
06-Feb-2017,799.70,801.67,795.25,801.34,801.34,11,84,500,
03-Feb-2017,802.99,806.00,800.37,801.49,801.49,14,63,400,
02-Feb-2017,793.80,802.70,792.00,798.53,798.53,15,32,100,
01-Feb-2017,799.68,801.19,791.19,795.70,795.70,20,29,700,
31-Jan-2017,796.86,801.25,790.52,796.79,796.79,21,60,600,
30-Jan-2017,814.66,815.84,799.80,802.32,802.32,32,46,600,
27-Jan-2017,834.71,841.95,820.44,823.31,823.31,29,65,800,
26-Jan-2017,837.81,838.00,827.01,832.15,832.15,29,73,900,
25-Jan-2017,829.62,835.77,825.06,835.67,835.67,14,94,500,
24-Jan-2017,822.30,825.90,817.82,823.87,823.87,14,74,000,
23-Jan-2017,807.25,820.87,803.74,819.31,819.31,19,63,600,
*Close price adjusted for dividends and splits.,
